currenttime,method,f,accuracy,precision,recall
2018-04-27 14:45:49.974985,GS,0.09000000000000001,0.66656820269927808,0.66660102402174093,0.66666666666666663
2018-04-27 14:45:50.021199,GS,0.35829645349814754,0.66659685114750411,0.66662012298722484,0.66666666666666663
2018-04-27 14:45:50.057699,GS,0.00022606977883586222,0.66611380381244745,0.66705462459432674,0.66805051029233697
2018-04-27 14:45:50.264434,GS,0.0009000000000000001,0.66645373093632554,0.66649202818921616,0.6665686226949975
2018-04-27 14:45:50.282100,GS,0.022606977883586222,0.66656495778158165,0.66659551573586751,0.66665663164443911
2018-04-27 14:45:50.614650,GS,0.567861610032174,0.66661482923683113,0.66663210838010956,0.66666666666666663
2018-04-27 14:45:51.266294,LCE,0.0001426403873215002,0.0,0.33333333333333326,1.0
2018-04-27 14:45:51.862876,LCE,0.00035829645349814754,0.0,0.33333333333333326,1.0
2018-04-27 14:45:52.272357,LCE,0.9,0.66465180707719429,0.66465180707719429,0.66465180707719429
2018-04-27 14:45:52.297694,LCE,0.2260697788358622,0.65382018144348397,0.65383947730211534,0.65387806901937806
2018-04-27 14:45:52.428924,LCE,0.014264038732150021,0.66074897272347499,0.66121786930408233,0.66171706597406876
2018-04-27 14:45:52.666277,LCE,0.0567861610032174,0.65282073527468254,0.65285240089550023,0.6529157321371355
2018-04-27 14:45:52.764224,LCE,0.09000000000000001,0.66141756580945044,0.66144218180129755,0.66149141378499177
2018-04-27 14:45:52.931513,LCE,0.0014264038732150022,0.0,0.33333333333333326,1.0
2018-04-27 14:45:53.081588,LCE,9e-05,0.0,0.33333333333333326,1.0
2018-04-27 14:45:53.096585,LCE,0.9,0.66528145069890443,0.66528145069890443,0.66528145069890443
2018-04-27 14:45:53.101139,LCE,0.035829645349814754,0.65796711860322821,0.65799809587283431,0.65806005041204674
2018-04-27 14:45:53.210560,LCE,0.567861610032174,0.66002917198240907,0.66004645112568749,0.66008100941224468
2018-04-27 14:45:53.299440,LCE,0.09000000000000001,0.65738005319812265,0.6574128745205855,0.6574785171655112
2018-04-27 14:45:53.400095,LCE,0.2260697788358622,0.65163993706086742,0.65165923291949879,0.65169782463676151
2018-04-27 14:45:53.474156,LCE,0.002260697788358622,0.0,0.33333333333333326,1.0
2018-04-27 14:45:53.602234,LCE,0.14264038732150022,0.65874514621965441,0.65877127395035784,0.6588235294117647
2018-04-27 14:45:53.813439,LCE,0.0567861610032174,0.65951969542696132,0.65954344464257464,0.65959094307380106
2018-04-27 14:45:53.939005,LCE,0.022606977883586222,0.66411375779213477,0.664136676257849,0.66418251318927779
2018-04-27 14:45:53.950953,LCE,0.35829645349814754,0.65908130003979426,0.6591045718795151,0.65915111555895678
2018-04-27 14:45:53.958243,MCE,0.0001426403873215002,0.0,0.33333333333333326,1.0
2018-04-27 14:45:53.964315,LCE,0.0009000000000000001,0.0,0.33333333333333326,1.0
2018-04-27 14:45:53.982756,LCE,0.035829645349814754,0.66215652846776019,0.66217976141996482,0.66222622732437408
2018-04-27 14:45:54.019855,LCE,0.0005678616100321739,0.0,0.33333333333333326,1.0
2018-04-27 14:45:54.068369,LCE,0.14264038732150022,0.65680639319035283,0.65683252092105626,0.65688477638246312
2018-04-27 14:45:54.331890,MCE,0.00035829645349814754,0.0,0.33333333333333326,1.0
2018-04-27 14:45:54.343299,LCE,0.00022606977883586222,0.0,0.33333333333333326,1.0
2018-04-27 14:45:54.353304,LCE,0.009000000000000001,0.66774761929163073,0.66777022329772429,0.66781543130991139
2018-04-27 14:45:54.372158,LCE,0.35829645349814754,0.65450917625886362,0.65453244809858457,0.65457899177802636
2018-04-27 14:45:54.560760,LCE,0.022606977883586222,0.66329441478714768,0.66332497274143354,0.66338608865000515
2018-04-27 14:45:54.826978,LCE,0.0035829645349814755,0.66618141696071509,0.66621139207660685,0.66627134230839025
2018-04-27 14:45:55.813295,MCE,0.0567861610032174,0.6528073848528092,0.65283905047362689,0.65290238171526216
2018-04-27 14:45:55.911378,LCE,0.567861610032174,0.66058283343300206,0.66060011257628048,0.66063467086283767
