currenttime,option,k,f,accuracy
2018-02-26 11:01:31.996444,opt6,4,0.01,0.36828282828282827
2018-02-26 11:01:32.814341,opt1,4,0.01,0.58616161616161622
2018-02-26 11:01:34.177558,opt2,4,0.01,0.53303030303030308
2018-02-26 11:01:35.044952,opt3,4,0.01,0.54555555555555557
2018-02-26 11:01:36.106690,opt4,4,0.01,0.58131313131313134
2018-02-26 11:01:37.443138,opt5,4,0.01,0.57878787878787874
2018-02-26 11:02:28.742529,opt6,4,0.01,0.41828282828282826
2018-02-26 11:02:29.576199,opt1,4,0.01,0.59696969696969693
2018-02-26 11:02:30.542359,opt2,4,0.01,0.52191919191919189
2018-02-26 11:02:31.031044,opt3,4,0.01,0.54414141414141415
2018-02-26 11:02:31.654799,opt4,4,0.01,0.58474747474747479
2018-02-26 11:02:32.849388,opt5,4,0.01,0.58646464646464647
2018-02-26 11:03:24.689774,opt6,4,0.01,0.40656565656565657
2018-02-26 11:03:30.943443,opt1,5,0.01,0.48494949494949496
2018-02-26 11:03:31.871275,opt2,5,0.01,0.35464646464646465
2018-02-26 11:03:32.318830,opt3,5,0.01,0.37393939393939396
2018-02-26 11:03:32.808390,opt4,5,0.01,0.47464646464646465
2018-02-26 11:03:33.891709,opt5,5,0.01,0.47808080808080811
2018-02-26 11:04:50.925622,opt6,5,0.01,0.37181818181818183
2018-02-26 11:04:51.562130,opt1,5,0.01,0.47878787878787876
2018-02-26 11:04:52.980339,opt2,5,0.01,0.33515151515151514
2018-02-26 11:04:54.070730,opt3,5,0.01,0.38121212121212122
2018-02-26 11:04:54.963296,opt4,5,0.01,0.43212121212121213
2018-02-26 11:04:56.068878,opt5,5,0.01,0.46909090909090911
2018-02-26 11:06:30.835761,opt6,5,0.01,0.38656565656565656
2018-02-26 11:06:31.349328,opt1,5,0.01,0.47878787878787876
2018-02-26 11:06:32.594142,opt2,5,0.01,0.43393939393939396
2018-02-26 11:06:33.062352,opt3,5,0.01,0.42494949494949497
2018-02-26 11:06:33.686431,opt4,5,0.01,0.33333333333333331
2018-02-26 11:06:34.980603,opt5,5,0.01,0.46464646464646464
2018-02-26 11:07:27.107153,opt6,5,0.01,0.31404040404040406
2018-02-26 11:07:27.617826,opt1,5,0.01,0.47010101010101008
2018-02-26 11:07:28.804622,opt2,5,0.01,0.35464646464646465
2018-02-26 11:07:29.332498,opt3,5,0.01,0.36606060606060609
2018-02-26 11:07:29.898013,opt4,5,0.01,0.39090909090909093
2018-02-26 11:07:31.317795,opt5,5,0.01,0.3926262626262626
2018-02-26 11:08:18.062634,opt6,5,0.01,0.30131313131313131
2018-02-26 11:08:18.423031,opt1,5,0.01,0.47373737373737373
2018-02-26 11:08:19.240255,opt2,5,0.01,0.37595959595959594
2018-02-26 11:08:19.588028,opt3,5,0.01,0.37505050505050502
2018-02-26 11:08:19.994075,opt4,5,0.01,0.41494949494949496
2018-02-26 11:08:21.187596,opt5,5,0.01,0.41575757575757577
2018-02-26 11:09:15.344723,opt6,5,0.01,0.3007070707070707
2018-02-26 11:09:15.656439,opt1,5,0.01,0.45222222222222225
2018-02-26 11:09:16.756890,opt2,5,0.01,0.35363636363636364
2018-02-26 11:09:17.187683,opt3,5,0.01,0.37848484848484848
2018-02-26 11:09:17.942811,opt4,5,0.01,0.44393939393939397
2018-02-26 11:09:19.281664,opt5,5,0.01,0.44868686868686869
2018-02-26 11:10:34.940914,opt6,5,0.01,0.28616161616161617
2018-02-26 11:10:35.447902,opt1,5,0.01,0.48474747474747476
