currenttime,choice,l,valueH,valueM
2020-03-03 23:07:12.312377,Hrow,3,0.3948760122902603,88783.55555555556
2020-03-03 23:07:12.312678,Hrow,4,0.39223000420734977,1856495.888888889
2020-03-03 23:07:12.312997,Hrow,5,0.341669514602997,35552650.222222224
2020-03-03 23:07:12.313248,Hrow,6,0.3425992075177141,714951951.6666666
2020-03-03 23:07:12.313484,Hrow,7,0.32854725283357095,14223428885.777779
2020-03-03 23:07:12.313674,Hrow,8,0.33282134177691747,284681034303.55554
2020-03-03 23:07:12.313868,HrowEC,1,0.624420401854714,219.11111111111111
2020-03-03 23:07:12.314121,HrowEC,2,0.44270291883246704,4247.333333333333
2020-03-03 23:07:12.314269,HrowEC,3,0.3704699004262632,80237.77777777778
2020-03-03 23:07:12.314421,HrowEC,4,0.34962570446607993,1523465.3333333333
2020-03-03 23:07:12.314645,HrowEC,5,0.33153221086384466,28961734.444444444
2020-03-03 23:07:12.314802,HrowEC,6,0.3331716556666157,550304017.5555556
2020-03-03 23:07:12.314947,HrowEC,7,0.3253070823482639,10455795014.88889
2020-03-03 23:07:12.315096,HrowEC,8,0.3305217952493213,198662463739.55554
2020-03-03 23:07:13.490305,Hrow,1,0.5758564437194128,216.44444444444446
2020-03-03 23:07:13.490664,Hrow,2,0.6310497887587572,6444.777777777777
2020-03-03 23:07:13.492465,Hrow,3,0.39582542547505245,88637.11111111111
