currenttime,option,k,f,time
2018-02-28 14:45:15.622707,opt2,5,0.01,0.37297797203063965
2018-02-28 14:45:15.673479,opt3,5,0.01,0.0495760440826416
2018-02-28 14:45:15.740335,opt4,5,0.01,0.0657801628112793
2018-02-28 14:45:16.457933,opt5,5,0.01,0.7164480686187744
2018-02-28 14:46:04.612358,opt6,5,0.01,48.15325593948364
2018-02-28 14:46:04.980043,opt2,5,0.01,0.36408400535583496
2018-02-28 14:46:05.057619,opt3,5,0.01,0.07651996612548828
2018-02-28 14:46:05.171766,opt4,5,0.01,0.11292791366577148
2018-02-28 14:46:06.112652,opt5,5,0.01,0.9399728775024414
2018-02-28 14:46:56.105172,opt6,5,0.01,49.99136805534363
2018-02-28 14:46:56.498577,opt2,5,0.01,0.3883979320526123
2018-02-28 14:46:56.548319,opt3,5,0.01,0.04867696762084961
2018-02-28 14:46:56.664337,opt4,5,0.01,0.11495804786682129
2018-02-28 14:46:57.507048,opt5,5,0.01,0.8415849208831787
2018-02-28 14:47:58.546663,opt6,5,0.01,61.038447856903076
